
Equity Holdings
Company,Jul-23 AUM:₹10202(Cr.),,Jun-23 AUM:₹9946.1(Cr.),,May-23 AUM:₹9600.4(Cr.),,Apr-23 AUM:₹9277.7(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
HDFC Bank Ltd,10.30,6366256,9.41,5499700,9.23,5499700,9.73,5349700
ICICI Bank Ltd,8.64,8830600,8.30,8830600,8.73,8830600,8.73,8830600
Reliance Industries Ltd,6.49,2598250,6.66,2598250,6.56,2548250,6.52,2498250
Infosys Ltd,5.91,4444142,5.97,4444142,5.77,4204142,5.68,4204142
Larsen & Toubro Ltd,4.41,1678385,4.18,1678385,3.60,1568385,3.79,1488385
ITC Ltd,3.81,8350000,3.79,8350000,3.87,8350000,3.83,8350000
Tata Consultancy Services Ltd,3.36,1002988,3.33,1002988,3.23,942988,3.27,942988
Bajaj Finance Ltd,3.33,465934,3.26,453434,3.14,430934,2.61,385934
Bharti Airtel Ltd,3.29,3770316,3.53,3995316,3.54,3995316,3.36,3895316
Axis Bank Ltd,3.24,3464200,3.59,3614200,3.83,4014200,3.72,4014200
State Bank of India,3.22,5300000,3.05,5300000,3.53,5850000,4.08,6550000
Ultratech Cement Ltd,2.66,326152,2.93,351152,2.88,351152,2.86,351152
Hindustan Unilever Ltd,2.55,1015800,3.00,1115800,3.10,1115800,2.96,1115800
Sun Pharmaceutical Industries Ltd,2.26,2019500,1.95,1844500,1.87,1844500,1.96,1844500
Maruti Suzuki India Ltd,2.04,211400,2.08,211400,2.06,211400,1.96,211400
Kotak Mahindra Bank Ltd,2.00,1098750,2.04,1098750,2.31,1098750,2.19,1048750
NTPC Ltd,1.92,8950000,1.56,8200000,1.48,8200000,1.52,8200000
Tata Motors Ltd,1.72,2725000,1.63,2725000,1.49,2725000,1.23,2350000
Cholamandalam Investment and Finance Co Ltd,1.68,1517952,1.74,1517952,1.66,1517952,1.43,1517952
HCL Technologies Ltd,1.44,1312000,1.57,1312000,1.56,1312000,1.36,1187000
Titan Co Ltd,1.43,487200,1.49,487200,1.43,487200,1.39,487200
IndusInd Bank Ltd,1.37,985000,1.17,850000,1.14,850000,0.99,800000
Bharat Electronics Ltd,1.29,10050000,1.21,9550000,1.12,9550000,1.06,9550000
Mahindra & Mahindra Ltd,1.25,865000,1.70,1165000,1.60,1165000,1.54,1165000
United Spirits Ltd,1.24,1245000,1.14,1245000,1.15,1245000,1.04,1245000
Siemens Ltd,1.23,316307,1.20,316307,0.93,251307,0.93,251307
ABB India Ltd,1.22,272500,1.32,297500,1.28,297500,1.10,297500
Bajaj Auto Ltd,1.12,232500,1.10,232500,1.11,232500,1.04,217500
Interglobe Aviation Ltd,1.11,434831,1.15,434831,1.07,434831,0.71,324831
Tata Steel Ltd,1.00,8300000,0.93,8300000,0.91,8300000,0.97,8300000
Max Healthcare Institute Ltd,0.99,1703698,1.03,1703698,1.24,2170698,1.40,2815698
SBI Life Insurance Co Ltd,0.98,780000,1.02,780000,1.00,780000,0.96,780000
Abbott India Ltd,0.96,40552,0.95,40552,0.92,40552,0.97,40552
PI Industries Ltd,0.92,260185,1.03,260185,0.98,260185,0.86,235185
Sona Blw Precision Forgings Ltd,0.81,1450000,0.75,1450000,0.82,1450000,0.75,1450000
Avenue Supermarts Ltd,0.77,208600,0.82,208600,0.75,208600,0.79,208600
Page Industries Ltd,0.76,20489,0.78,20489,0.96,23750,1.03,23750
Jio Financial Services Ltd,0.67,2598250,-,-,-,-,-,-
Tata Consumer Products Ltd,0.62,736324,0.64,736324,0.61,736324,0.61,736324
Indian Hotels Co Ltd,0.60,1550000,0.69,1750000,0.77,1900000,0.95,2600000
Dr. Reddy's Laboratories Ltd,0.55,100000,-,-,-,-,-,-
Hindalco Industries Ltd,0.46,1020000,0.43,1020000,0.43,1020000,0.55,1170000
Housing Development Finance Corporation Ltd,-,-,2.48,872950,2.40,872950,2.46,822950
Gland Pharma Ltd,-,-,-,-,-,-,0.32,220600
Gujarat Gas Ltd,-,-,0.05,108394,0.73,1390994,0.70,1390994



Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹10202(Cr.) ,Jun-23 AUM:₹9946.1(Cr.) ,May-23 AUM:₹9600.4(Cr.) ,Apr-23 AUM:₹9277.7(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),4.24,3.22,3.15,4.20
Net Current Asset,0.12,0.13,0.03,-0.11



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
