
Equity Holdings
Company,Jul-23 AUM:₹40285.7(Cr.),,Jun-23 AUM:₹38734.1(Cr.),,May-23 AUM:₹37016(Cr.),,Apr-23 AUM:₹35877(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
ICICI Bank Ltd.,9.82,39610273,9.10,37707933,9.46,36890404,9.79,38271728
Reliance Industries Ltd.,7.67,12115757,7.98,12115757,8.08,12115757,8.17,12115757
Larsen & Toubro Ltd.,7.43,11169307,7.14,11169307,6.66,11169307,6.95,10546507
HDFC Bank Ltd.,6.18,15080693,1.62,3698245,1.79,4103040,4.52,9603730
Infosys Ltd.,5.59,16615770,5.68,16479127,5.82,16333552,5.42,15531074
Axis Bank Ltd.,4.80,20257122,5.11,20054955,4.96,20054955,4.98,20767766
Ultratech Cement Ltd.,3.95,1913823,3.32,1548043,3.17,1492427,3.14,1492427
Bharti Airtel Ltd.,3.51,15904050,3.60,15873391,3.50,15260043,3.40,15260043
Maruti Suzuki India Ltd.,3.38,1387546,3.50,1385546,3.51,1385546,3.29,1375746
ITC Ltd.,2.54,21952299,2.56,21952299,2.56,21253099,2.23,18766699
Hero Motocorp Ltd.,1.65,2075008,1.56,2075008,1.55,2075008,1.48,2075008
NTPC Ltd.,1.63,30061233,1.45,29666592,1.39,29666592,1.42,29666592
Tech Mahindra Ltd.,1.57,5669361,1.66,5669361,1.71,5669361,1.60,5621392
Lupin Ltd.,1.51,6155745,1.43,6155745,1.34,6155745,1.24,6290575
HCL Technologies Ltd.,1.48,5328187,1.63,5328187,1.65,5328187,1.48,4993695
Sun Pharmaceutical Industries Ltd.,1.42,5005704,1.39,5134707,1.34,5098907,1.36,4930907
SBI Life Insurance Company Ltd.,1.41,4433065,1.88,5561812,2.16,6459325,2.25,7077560
Oil & Natural Gas Corporation Ltd.,1.38,31451488,1.28,30969862,1.21,28841226,1.28,28841226
ICICI Prudential Life Insurance Company Ltd.,1.36,9480683,1.40,9480683,1.19,9480683,1.04,8620683
TVS Motor Company Ltd.,1.31,3821962,1.44,4193254,1.48,4193254,1.33,4193254
Bharat Petroleum Corporation Ltd.,1.13,12109445,1.14,12109445,1.19,12109445,1.19,11931238
