
Equity Holdings
Company,Jul-23 AUM:₹4839.9(Cr.),,Jun-23 AUM:₹4543.9(Cr.),,May-23 AUM:₹4294.3(Cr.),,Apr-23 AUM:₹4172.4(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
ICICI Bank Ltd.,8.78,4258124,9.39,4566523,8.84,4001523,8.29,3770388
Reliance Industries Ltd.,8.58,1629408,8.45,1505408,8.26,1435408,8.84,1524088
Sun Pharmaceutical Industries Ltd.,6.30,2665137,7.45,3221216,7.13,3140109,6.71,2835728
Infosys Ltd.,5.59,1996395,5.07,1725828,6.21,1825828,5.65,1882807
Larsen & Toubro Ltd.,5.38,970370,5.79,1063370,5.46,1063370,4.58,808370
HDFC Bank Ltd.,4.52,1324784,-,-,-,-,-,-
Maruti Suzuki India Ltd.,3.79,186652,4.58,212704,4.68,214561,5.56,269961
Muthoot Finance Ltd.,3.35,1199538,2.58,946288,2.21,851721,2.43,994643
Siemens Ltd.,3.29,399211,2.71,326752,1.98,239981,-,-
Axis Bank Ltd.,3.20,1621759,2.45,1126134,2.65,1244916,2.57,1244916
NTPC Ltd.,3.20,7094486,3.11,7464486,2.91,7199146,3.23,7846272
Dabur India Ltd.,3.16,2654271,2.80,2224271,3.24,2504143,3.17,2480285
Bharti Airtel Ltd.,3.14,1708421,3.05,1578421,3.12,1578421,3.25,1698421
TVS Motor Company Ltd.,3.06,1077249,3.14,1077249,3.27,1077249,2.94,1077249
Avenue Supermarts Ltd.,2.81,361822,3.34,389810,2.73,338256,0.92,109138
Zee Entertainment Enterprises Ltd.,2.71,5412116,2.18,5594909,2.54,5594909,2.64,5594909
Hero Motocorp Ltd.,2.59,390645,0.40,62553,1.91,297785,1.67,272633
The Phoenix Mills Ltd.,2.40,670461,2.37,687447,2.35,689171,2.40,692651
Tata Motors Ltd. - DVR,2.35,2745459,2.09,3045459,1.96,3098630,1.95,3274129
Timken India Ltd.,2.25,310148,1.91,253521,-,-,-,-
Syngene International Ltd.,2.24,1359404,1.89,1122616,2.12,1253423,2.03,1253423
ICICI Lombard General Insurance Company Ltd.,2.24,783457,2.32,783457,2.31,839512,2.17,839512
SBI Life Insurance Company Ltd.,2.18,824361,1.94,674361,2.06,714748,2.64,964748
Ultratech Cement Ltd.,2.02,117747,-,-,-,-,-,-
Motherson Sumi Systems Ltd.,2.00,9834031,2.27,12027510,1.90,10306938,1.41,8002627
Interglobe Aviation Ltd.,1.99,371289,1.58,273693,1.21,219516,-,-
Oberoi Realty Ltd.,1.83,789937,1.51,694823,0.96,444961,0.34,155176
Havells India Ltd.,1.49,539893,1.25,443906,1.46,480759,1.71,580759
Jio Financial Services Ltd,0.81,1505408,-,-,-,-,-,-
Bata India Ltd.,0.40,112573,-,-,-,-,-,-
HDFC Ltd.,-,-,4.90,788562,4.82,784452,6.37,958247
State Bank Of India,-,-,-,-,-,-,4.24,3060819
LIC Housing Finance Ltd.,-,-,2.09,2426100,2.31,2661897,2.34,2831897
Godrej Consumer Products Ltd.,-,-,-,-,-,-,0.15,67066
Page Industries Ltd.,-,-,-,-,0.50,5552,-,-
Hindustan Aeronautics Ltd.,-,-,1.53,183020,1.73,238020,1.75,250000
SBI Cards & Payment Services Ltd.,-,-,1.39,745051,1.87,876169,2.38,1283365
G R Infraprojects Ltd.,-,-,-,-,-,-,0.10,43047


Debt Holdings
Instrument,Jul-23 AUM:₹4839.9(Cr.) ,Jun-23 AUM:₹4543.9(Cr.) ,May-23 AUM:₹4294.3(Cr.) ,Apr-23 AUM:₹4172.4(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
91 Days Treasury Bills (Treasury Bills),0.62,0.65,-,-
182 Days Treasury Bills (Treasury Bills),0.61,-,-,-
91 Days Treasury Bills (Treasury Bills),-,-,-,0.95
91 Days Treasury Bills (Treasury Bills),-,1.10,1.15,1.18


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹4839.9(Cr.) ,Jun-23 AUM:₹4543.9(Cr.) ,May-23 AUM:₹4294.3(Cr.) ,Apr-23 AUM:₹4172.4(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),1.64,2.75,3.29,4.26
Cash & Cash Equivalent,0.17,0.18,0.60,0.61
Net Current Asset,-0.68,-0.22,0.22,-1.44


Miscellaneous Holdings
Instrument,Jul-23 AUM:₹4839.9(Cr.) ,Jun-23 AUM:₹4543.9(Cr.) ,May-23 AUM:₹4294.3(Cr.) ,Apr-23 AUM:₹4172.4(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Infosys Ltd. (Covered call) (Derivatives-Futures),5.59,5.07,6.21,5.65


Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
