
Equity Holdings
Company,Jul-23 AUM:₹6510.8(Cr.),,Jun-23 AUM:₹6047.3(Cr.),,May-23 AUM:₹5466.1(Cr.),,Apr-23 AUM:₹5036(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
Cyient Ltd.,4.22,1870832,4.60,1851866,4.51,1899688,4.51,1926719
PVR Ltd.,3.54,1480723,3.25,1430723,3.36,1297629,3.55,1222813
EPL Ltd.,3.21,9166610,3.25,9166610,3.04,9166610,3.32,9546110
Krishna Institute of Medical Sciences,3.01,1023989,3.50,1183233,3.51,1183233,3.55,1183364
Rolex Rings Ltd.,2.98,873867,3.22,873867,3.09,873867,3.19,873867
Cholamandalam Financial Holdings Ltd.,2.42,1617691,2.40,1617691,2.37,1617691,1.98,1646434
KEI Industries Ltd.,2.37,634852,2.49,651065,2.46,672445,2.86,760363
V-Mart Retail Ltd.,2.37,676631,2.47,676631,1.88,505901,1.94,450040
Multi Commodity Exchange Of India Ltd.,2.34,917205,2.28,917205,2.44,917205,2.55,917205
Mahindra Lifespace Developers Ltd.,2.26,2848630,2.19,2848630,2.35,2848630,2.10,2844677
Tarsons Products Ltd.,2.07,2250439,2.24,2250439,2.30,2250439,2.53,2250439
Arvind Fashions Ltd.,1.98,3966215,2.34,3966215,2.08,3966215,2.22,3966215
PNC Infratech Ltd.,1.96,3689521,2.00,3689521,2.12,3689521,2.08,3689521
Vijaya Diagnostic Centre Pvt Ltd.,1.90,2752402,2.15,2752402,-,-,-,-
CYIENT DLM LTD,1.82,2293860,0.17,377384,-,-,-,-
Sapphire Foods India Ltd,1.81,858323,1.95,858323,2.29,858323,2.04,858323
Brigade Enterprises Ltd.,1.80,1983557,1.89,1983557,2.04,1983557,1.98,1983557
J.B.Chemicals & Pharmaceuticals Ltd.,1.75,454657,1.88,479239,1.85,479239,2.03,479239
Orient Electric Ltd.,1.75,4935563,0.78,1967370,0.86,1967370,0.87,1967370
Jamna Auto Industries Ltd.,1.72,9965021,1.68,9965021,1.80,9965021,2.07,9965021
Mold-Tek Packaging Ltd,1.71,1098274,1.85,1104902,1.90,1104902,2.10,1104902
CCL Products (India) Ltd.,1.68,1782864,2.02,1836064,2.23,1921144,2.53,2116034
Jyothy Laboratories Ltd.,1.64,3422826,1.22,3422826,1.31,3422826,1.32,3422826
CMS Info Systems Ltd,1.59,2590457,1.78,2933119,1.80,3027523,1.75,3027523
SBI Cards & Payment Services Ltd.,1.56,1186783,1.66,1186783,1.99,1186783,1.82,1186783
Aster DM Healthcare Ltd.,1.54,3203377,1.48,3203377,1.58,3203377,1.57,3203377
VRL Logistics Ltd.,1.47,1299762,1.53,1299762,1.77,1299762,1.98,1585351
Sansera Engineering Ltd.,1.45,989708,1.42,989708,-,-,-,-
Syngene International Ltd.,1.38,1128572,1.43,1128572,1.50,1128572,1.58,1178572
Gateway Distriparks Ltd,1.38,11455291,1.37,11455291,1.39,11455291,1.45,11455291
Blue Star Ltd.,1.36,1127405,1.44,1135648,1.91,1444396,2.23,1516858
Sudarshan Chemical Industries Ltd.,1.27,1665847,1.34,1665847,1.41,1665847,1.36,1665847
Birla Corporation Ltd.,1.26,668302,1.37,668302,1.37,668302,1.22,668302
TD Power Systems Ltd.,1.26,3150000,1.29,3150000,-,-,-,-
Camlin Fine Sciences Ltd.,1.21,5042558,1.36,5042558,1.56,5042558,1.73,5042558
Kalpataru Power Transmission Ltd.,1.13,1158165,1.03,1158165,1.14,1158165,0.38,358165
Sundram Fasteners Ltd.,1.05,539811,1.11,550482,1.56,755538,1.57,755538
KPIT Technologies Ltd.,1.05,1596364,1.01,1703175,1.60,2542812,1.67,3089313
Equitas Small Finance Bank Ltd.,1.00,6871542,1.02,6871542,1.09,6871542,0.94,6871542
V.S.T Tillers Tractors Ltd.,0.99,207517,0.98,207517,1.06,207517,1.03,207517
Finolex Cables Ltd.,0.98,599641,0.85,599641,0.88,599641,1.07,599641
Sagar Cements Ltd.,0.98,3024625,1.07,3020000,1.12,3020000,1.16,3020000
Go Fashion India Ltd.,0.96,529564,1.00,529564,1.05,529564,1.13,529564
FDC Ltd.,0.91,1723556,0.88,1723556,0.15,274226,-,-
Dixon Technologies (India) Ltd.,0.91,143770,1.04,143770,1.17,165289,1.21,208298
Archean Chemicals Ltd.,0.88,1105632,0.98,1105632,1.10,1105632,1.21,1105632
Divgi Torqtransfer Systems Ltd,0.87,637336,0.97,638194,0.98,638194,0.86,659668
Indoco Remedies Ltd.,0.86,1772651,0.96,1772651,1.14,1772651,1.14,1772651
Astec LifeSciences Ltd.,0.84,436018,0.70,319137,0.81,319137,0.84,319137
Minda Industries Ltd.,0.78,856311,0.91,941909,1.05,1030137,1.08,1045857
Barbeque Nation Hospitality,0.74,705969,0.77,705969,0.78,705969,0.85,705969
EIH Ltd.,0.73,2255909,0.79,2255909,0.86,2255909,0.85,2255909
DCB Bank Ltd.,0.72,3814186,0.77,3814186,0.82,3814186,0.80,3814186
Windlas Biotech Ltd.,0.57,1100485,0.54,1100485,0.53,1100485,0.56,1100485
Gujarat Pipavav Port Ltd.,0.51,2665117,0.54,2665117,0.63,3220840,0.74,3250889
Tracxn Technologies Ltd,0.50,3796234,0.56,4211850,0.52,4211850,0.57,4211850
Matrimony.com Ltd.,0.48,475643,0.50,475643,0.54,475643,0.50,475643
Supreme Petrochem Ltd.,0.47,690718,-,-,-,-,-,-
S. P. Apparels Ltd.,0.43,614009,0.47,614009,0.47,614009,0.45,614009
Krsnaa Diagnostics Ltd.,0.38,479345,0.46,479345,0.51,479345,0.48,479345
Teamlease Services Ltd.,0.33,91065,0.38,91065,0.38,92613,0.39,92613
Firstsource Solutions Ltd.,-,-,-,-,-,-,0.10,410968
Home First Finance Company India Ltd.,-,-,-,-,-,-,0.20,144735
Global Health Ltd,-,-,-,-,-,-,0.19,188077



Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹6510.8(Cr.) ,Jun-23 AUM:₹6047.3(Cr.) ,May-23 AUM:₹5466.1(Cr.) ,Apr-23 AUM:₹5036(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),11.15,11.54,12.07,9.92
Net Current Asset,-0.23,-1.13,-0.07,0.09


Miscellaneous Holdings
Instrument,Jul-23 AUM:₹6510.8(Cr.) ,Jun-23 AUM:₹6047.3(Cr.) ,May-23 AUM:₹5466.1(Cr.) ,Apr-23 AUM:₹5036(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
CYIENT DLM LTD (Derivatives-Futures),1.82,0.17,-,-


Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
