
Equity Holdings
Company,Jul-23 AUM:₹34468.9(Cr.),,Jun-23 AUM:₹31945.1(Cr.),,May-23 AUM:₹28778.9(Cr.),,Apr-23 AUM:₹26293.5(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
Tube Investments of India Limited,2.92,3267559,3.25,3267559,3.25,3267559,3.22,3267559
HDFC Bank Limited,2.02,4225000,2.25,4225000,1.51,2700000,1.73,2700000
CreditAccess Grameen Limited,1.66,3922401,1.47,3772401,1.62,3772401,1.23,3367401
KPIT Technologies Limited,1.49,4756932,1.62,4756932,1.76,4756932,1.66,4756932
Tejas Networks Limited,1.37,5763697,1.31,5763697,1.40,5763697,1.44,5763697
Apar Industries Limited,1.36,1242965,1.35,1242965,1.20,1242965,1.35,1262240
Larsen & Toubro Limited,1.23,1583030,1.23,1583030,1.21,1583030,1.42,1583030
Zydus Wellness Limited,1.22,2871106,1.33,2871106,1.20,2373458,1.40,2373458
Voltamp Transformers Limited,1.17,873167,1.11,873167,1.27,873167,0.99,873167
Timken India Limited,1.16,1134218,1.22,1134218,1.23,1067270,1.21,1067270
Carborundum Universal Limited,1.15,3265582,1.22,3265582,1.30,3265582,1.34,3265582
Hindustan Aeronautics Limited,1.15,1000000,1.19,1000000,1.15,1060431,1.18,1060431
Karur Vysya Bank Limited,1.14,31745614,1.24,31745614,0.92,24831146,0.92,24831146
Elantas Beck India Limited,1.13,614625,1.24,614625,1.27,614625,1.24,614625
Bajaj Electricals Limited,1.12,3062071,1.22,3062071,1.22,3062071,1.28,3062071
Bharat Heavy Electricals Limited,1.10,36323195,1.00,36323195,0.96,33823195,1.01,33823195
ION Exchange (India) Limited,1.10,7161360,0.93,7161360,0.95,7161360,0.89,7161360
Balrampur Chini Mills Limited,1.09,9291212,1.12,9291212,1.27,9291212,1.47,9291212
State Bank of India,1.06,5866500,0.80,4466500,0.90,4466500,0.98,4466500
Cyient Limited,1.05,2477151,1.16,2477151,1.22,2715053,1.22,2715053
Mahindra CIE Automotive Limited,1.03,6966784,1.12,6966784,1.10,6966784,1.06,6966784
Fusion Micro Finance Limited,1.02,5328775,0.92,5328775,0.96,5328775,0.80,5082284
Ajanta Pharma Limited,1.01,2057744,0.95,2057744,0.94,2057744,1.03,2057744
Bank of Baroda,1.00,17000000,1.01,17000000,1.09,17000000,1.65,23045248
InterGlobe Aviation Limited,1.00,1327472,1.19,1445297,1.11,1345297,0.66,860581
NIIT Learning Systems Limited,0.99,11111066,1.07,11111066,-,-,-,-
Kirloskar Brothers Limited,0.96,4341762,0.83,4341762,0.86,4300851,0.70,4300851
Birla Corporation Limited,0.95,2670132,1.04,2670132,1.04,2670132,0.99,2844494
Jyothy Labs Limited,0.95,10505030,0.71,10565418,0.77,10565418,0.78,10565418
Radico Khaitan Limited,0.94,2228907,0.84,2228907,0.91,2228907,0.96,2228907
Procter & Gamble Health Limited,0.93,596807,0.92,558026,0.94,519295,0.85,477280
Finolex Cables Limited,0.93,3014222,0.81,3014222,0.84,3014222,1.03,3014222
Navin Fluorine International Limited,0.93,749511,1.11,787244,1.28,787244,1.45,787244
Fine Organic Industries Limited,0.92,703759,1.08,703759,1.10,703759,1.18,703759
Poonawalla Fincorp Limited,0.89,7802836,0.94,8802836,1.32,11001868,1.35,11001868
Multi Commodity Exchange of India Limited,0.89,1851010,0.87,1851010,0.94,1851010,0.99,1851010
TD Power Systems Limited,0.85,11275320,0.87,11275320,0.81,11275320,0.75,11275320
Vardhman Textiles Limited,0.83,7731899,0.89,7731899,0.86,7731899,0.93,7731899
