
Equity Holdings
Company,Jul-23 AUM:₹9261.1(Cr.),,Jun-23 AUM:₹8965.4(Cr.),,May-23 AUM:₹8549(Cr.),,Apr-23 AUM:₹8072.1(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
The Phoenix Mills Ltd.,3.17,1697055,2.96,1697055,2.91,1697055,3.04,1697055
Cholamandalam Investment & Finance Company Ltd.,3.10,2532684,3.23,2532684,3.11,2532684,2.73,2532684
Tube Investments Of India Ltd.,3.06,919677,3.26,919677,3.08,919677,2.95,919677
Timken India Ltd.,3.02,796219,3.04,796219,3.08,796219,2.94,796219
Max Healthcare Institute Ltd.,2.93,4562120,3.05,4562120,2.93,4562120,2.60,4562120
Cummins India Ltd.,2.91,1371160,2.97,1371160,2.82,1371160,2.68,1371160
Abbott India Ltd.,2.60,100119,2.62,100119,2.55,100119,2.77,100119
HDFC Bank Ltd.,2.55,1428000,-,-,-,-,-,-
Indraprastha Gas Ltd.,2.45,4890924,2.58,4890924,2.75,4890924,3.00,4890924
Kotak Mahindra Bank Ltd.,2.39,1193854,2.46,1193854,-,-,-,-
Navin Fluorine International Ltd.,2.37,514601,2.58,514601,2.81,514601,3.09,514601
SKF India Ltd.,2.30,397666,2.21,397666,2.05,397666,2.32,449654
Jubilant Foodworks Ltd.,2.28,4412178,3.29,5886301,3.36,5948000,3.29,5948000
UNO Minda Ltd.,2.05,3190960,1.71,2636360,1.71,2636360,1.51,2334702
TVS Motor Company Ltd.,2.03,1368659,2.02,1368659,2.09,1368659,1.93,1368659
Gujarat Gas Ltd.,1.97,3773449,1.96,3773449,2.24,3773449,2.19,3773449
JK Cement Ltd.,1.95,552786,2.09,552786,1.46,390186,1.41,379871
P I INDUSTRIES LIMITED,1.86,475963,1.60,364826,1.54,364826,-,-
Dixon Technologies (India) Ltd.,1.78,399033,1.95,399033,1.81,399033,1.44,399033
Poonawalla Fincorp Ltd.,1.77,4191540,1.38,3638170,1.05,2603104,0.28,703043
Radico Khaitan Ltd.,1.76,1122967,1.51,1122967,1.54,1122967,1.57,1122967
Max Financial Services Ltd.,1.69,1922769,1.74,1922769,1.59,1922769,1.52,1922769
Creditaccess Grameen Ltd.,1.63,1036700,1.44,1036700,1.50,1036700,1.24,1036700
Balkrishna Industries Ltd.,1.62,589383,1.56,589383,1.57,589383,0.99,382625
Sona BLW Precision Forgings Ltd.,1.59,2588683,1.49,2588683,1.64,2588683,1.54,2588683
Persistent Systems Ltd.,1.56,304984,2.79,498340,3.00,498340,2.92,498340
Mphasis Ltd.,1.46,590600,1.25,590600,1.34,590600,1.33,590600
HDFC Asset Management Company Ltd.,1.46,532100,1.36,532100,1.22,532100,1.16,532100
Motherson Sumi Wiring India Ltd.,1.44,22850935,1.47,22850935,1.55,22850935,1.04,15591935
Container Corporation Of India Ltd.,1.41,1874000,1.38,1874000,1.47,1874000,1.42,1874000
Vedant Fashions Ltd.,1.38,1006844,1.39,1006844,1.52,1006844,0.67,422944
Escorts Kubota Ltd.,1.14,416754,1.05,416754,1.06,416754,1.02,416754
Supreme Industries Ltd.,1.13,296028,1.06,296028,0.96,296028,1.00,296028
Muthoot Finance Ltd.,1.12,768429,1.06,768429,1.00,768429,0.97,768429
Bata India Ltd.,1.06,563942,1.07,570782,1.06,570782,1.04,570782
Oberoi Realty Ltd.,1.05,868829,0.95,868829,0.95,868829,0.98,868829
The Indian Hotels Company Ltd.,1.03,2412629,1.06,2412629,1.10,2412629,1.01,2412629
Coforge Ltd.,1.03,203000,1.07,203000,1.08,203000,1.05,203000
L&T Technology Services Ltd.,0.99,228000,1.00,228000,1.04,228000,1.07,228000
Dr. Lal Path Labs Ltd.,0.98,388808,0.98,388808,0.92,388808,0.94,388808
Solar Industries India Ltd.,0.97,236523,0.99,236523,0.69,156523,0.74,156523
SBI Cards & Payment Services Ltd.,0.97,1048872,0.99,1048872,1.12,1048872,1.00,1048872
Laurus Labs Ltd.,0.96,2530000,1.23,3000000,1.16,3000000,1.14,3000000
VARUN BEVERAGES LIMITED,0.95,1098228,0.98,1098228,1.09,1098228,0.98,1098228
Vinati Organics Ltd.,0.94,477250,0.97,477250,1.02,477250,0.41,166250
United Spirits Ltd.,0.94,852876,0.87,852876,0.88,852876,-,-
Syngene International Ltd.,0.94,1098266,0.94,1098266,0.93,1098266,0.92,1098266
Tata Chemicals Ltd.,0.92,800000,0.89,800000,0.91,800000,0.94,800000
Star Health & Allied Insurance Co Ltd.,0.91,1324854,0.86,1324854,0.83,1324854,0.97,1324854
Kajaria Ceramics Ltd.,0.85,549028,0.77,549028,0.82,549028,1.50,1105882
Metro Brands Ltd.,0.85,757269,0.78,745709,0.84,745709,0.31,293147
ZF Commercial Vehicle Ctrl Sys Ind Ltd.,0.82,58500,0.79,58500,0.73,58500,0.74,58500
