
Equity Holdings
Company,Jul-23 AUM:₹351.7(Cr.),,Jun-23 AUM:₹313.3(Cr.),,May-23 AUM:₹266.7(Cr.),,Apr-23 AUM:₹258.8(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
HDFC Bank Limited,9.32,198200,8.52,156950,9.48,156950,9.26,141950
DLF Limited,9.07,614500,4.96,317000,5.64,317000,3.66,222000
Reliance Industries Limited,8.51,117400,8.84,108600,9.69,104700,9.79,104700
Bikaji Foods International Limited,7.35,532842,7.11,532842,7.63,532842,6.04,416842
Orchid Pharma Limited,7.25,445622,7.11,445622,-,-,-,-
Sun Pharmaceutical Industries Limited,6.58,202500,8.07,239800,-,-,-,-
NTPC Limited,5.25,845800,5.11,845800,5.51,845800,4.62,695800
Macrotech Developers Limited,4.40,203654,4.42,203654,4.16,203654,4.28,238654
Coal India Ltd,4.24,650000,4.79,650000,-,-,-,-
UltraTech Cement Limited,3.90,16500,4.37,16500,4.87,16500,4.82,16500
Bosch Limited,2.70,5009,3.04,5009,3.49,5009,3.75,5009
Aurobindo Pharma Limited,1.79,76600,0.85,36600,0.90,36600,-,-
Power Grid Corporation of India Limited,1.34,175500,-,-,2.57,293000,2.69,293000
Nestle India Limited,1.29,2000,2.46,3370,2.74,3370,2.83,3370
Jio Financial Services Limited,0.86,116100,-,-,-,-,-,-
State Bank of India,-,-,-,-,-,-,9.78,437600
Dr. Reddy's Laboratories Limited,-,-,-,-,4.09,24250,4.62,24250
Infosys Limited,-,-,-,-,0.49,10000,-,-
Shree Cements Ltd,-,-,-,-,2.97,3150,2.96,3150
Hindalco Industries Limited,-,-,2.91,216400,3.29,216400,3.65,216400
Larsen & Toubro Limited,-,-,-,-,8.57,103700,9.47,103700
ITC Limited,-,-,2.32,160000,-,-,6.74,410000
Wipro Ltd,-,-,-,-,0.79,52000,2.65,178000
Bank of Baroda,-,-,1.70,280000,-,-,-,-
LTIMindtree Limited,-,-,6.56,39550,7.41,39550,4.99,29250


Debt Holdings
Instrument,Jul-23 AUM:₹351.7(Cr.) ,Jun-23 AUM:₹313.3(Cr.) ,May-23 AUM:₹266.7(Cr.) ,Apr-23 AUM:₹258.8(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
182 Days Treasury Bill  24-Aug-2023 (Treasury Bills),7.36,8.22,9.60,-


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹351.7(Cr.) ,Jun-23 AUM:₹313.3(Cr.) ,May-23 AUM:₹266.7(Cr.) ,Apr-23 AUM:₹258.8(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),20.04,2.54,2.00,2.03
Net Current Asset,-21.90,-1.43,-0.99,1.37


Miscellaneous Holdings
Instrument,Jul-23 AUM:₹351.7(Cr.) ,Jun-23 AUM:₹313.3(Cr.) ,May-23 AUM:₹266.7(Cr.) ,Apr-23 AUM:₹258.8(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
HDFC Bank Limited 31/08/2023 (Derivatives-Futures),9.32,8.52,9.48,9.26
DLF Limited 31/08/2023 (Derivatives-Futures),9.07,4.96,5.64,3.66
Sun Pharmaceutical Industries Limited 27/07/2023 (Derivatives-Futures),6.58,8.07,-,-
ICICI Bank Limited 31/08/2023 (Derivatives-Futures),5.26,-,-,-
ACC Limited 31/08/2023 (Derivatives-Futures),4.60,-,-,-
Zee Entertainment Ent Ltd 31/08/2023 (Derivatives-Futures),3.13,-,-,-
Jindal Steel & Power Ltd 31/08/2023 (Derivatives-Futures),2.52,-,-,-
Ambuja Cements Ltd 31/08/2023 (Derivatives-Futures),2.20,-,-,-
Adani Ports & Special Economic Zone Ltd 31/08/2023 (Derivatives-Futures),1.96,-,-,-
Power Grid Corporation of India Limited 31/08/2023 (Derivatives-Futures),1.34,-,2.57,2.69
Nestle India Limited 31/08/2023 (Derivatives-Futures),1.29,2.46,2.74,2.83
Asian Paints Limited 31/08/2023 (Derivatives-Futures),0.97,-,-,-
Tata Steel Limited 27/07/2023 (Derivatives-Futures),-,2.55,-,-
Tata Communications Limited 29/06/2023 (Derivatives-Futures),-,-,2.93,-
Tata Motors Limited 27/07/2023 (Derivatives-Futures),-,2.72,-,-
ITC Limited 27/07/2023 (Derivatives-Futures),-,2.32,-,6.74
Bharti Airtel Limited 29/06/2023 (Derivatives-Futures),-,2.67,1.87,-
Biocon Ltd 27/07/2023 (Derivatives-Futures),-,1.59,-,-
NSE NIFTY 50 27/07/2023 (Derivatives-Futures),-,-2.00,-,-
PUT NSE BANK NIFTY 29/06/2023 43300 (Derivatives-Put Options),-,-,0.06,-
PUT NSE BANK NIFTY 29/06/2023 43500 (Derivatives-Put Options),-,-,0.15,-
PUT NSE NIFTY 50 29/06/2023 18200 (Derivatives-Put Options),-,-,0.01,-
PUT NSE NIFTY 50 29/06/2023 18300 (Derivatives-Put Options),-,-,0.05,-


Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
