
Equity Holdings
Company,Jul-23 AUM:₹6779.6(Cr.),,Jun-23 AUM:₹5565.3(Cr.),,May-23 AUM:₹4688.2(Cr.),,Apr-23 AUM:₹4091.5(Cr.),
,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares,% of AUM,No. of Shares
Reliance Industries Limited,8.32,2211700,9.50,2073000,9.55,1813400,8.66,1463650
HDFC Bank Limited,6.84,2801250,6.83,2233000,7.67,2233000,7.91,1918000
Bikaji Foods International Limited,3.47,4853700,3.11,4145369,3.38,4145369,3.56,3880142
Usha Martin Limited,3.17,6369321,3.00,6169321,2.81,5775387,2.88,5534883
Aegis Logistics Limited,2.89,5121820,1.06,1835403,1.30,1697605,1.63,1697605
Hindustan Copper Limited,2.75,13211977,1.67,7991127,1.93,7991127,1.98,7991127
Jindal Stainless Limited,2.74,4627646,2.75,4627646,2.90,4627646,3.19,4627646
Arvind Limited,2.66,13068929,2.83,11817929,2.67,9806976,2.32,8772621
Punjab National Bank,2.55,27979000,2.60,27979000,3.32,29979000,3.83,29979000
IRB Infrastructure Developers Limited,2.20,56436660,2.72,56436660,3.44,56436660,3.78,56436660
Natco Pharma Ltd,2.19,1782579,2.09,1676579,1.59,1206579,1.65,1176497
Marksans Pharma Limited,2.11,12041259,1.97,12010002,1.49,8192309,1.24,6292309
HFCL Limited,2.02,21445780,2.13,18245780,1.89,13666868,2.16,13666868
HEG Limited,2.00,752312,1.85,632312,1.05,427312,-,-
Just Dial Limited,1.97,1727767,2.22,1672804,2.25,1513315,2.50,1513315
Century Textiles & Industries Limited,1.79,1124564,0.75,484564,0.71,419564,0.70,419564
Karnataka Bank Ltd,1.77,5757000,0.48,1400000,-,-,-,-
Graphite India Limited,1.70,2666100,1.92,2666100,1.28,1851100,-,-
TV18 Broadcast Ltd,1.70,28447618,1.91,28447618,1.76,23447618,1.33,17947618
Strides Pharma Science Ltd,1.68,2412936,1.87,2412936,1.08,1412936,0.47,565969
Sula Vineyards Limited,1.64,2128443,1.75,2128443,1.36,1502443,1.07,1137811
The India Cements Limited,1.53,4719600,1.80,4719600,2.04,4719600,2.14,4719600
Minda Corporation Ltd,1.44,3162974,1.47,2887974,1.06,1755012,1.21,1755012
Piramal Pharma Limited,1.42,9213820,-,-,-,-,-,-
Anand Rathi Wealth Limited,1.31,764197,0.98,629197,1.15,629197,1.33,629197
Delta Corp Ltd,1.29,4377812,1.52,3341236,1.00,1931236,0.91,1826503
Man Infraconstruction Limited,1.15,6030000,1.24,6030000,1.19,6030000,1.21,6030000
VRL Logistics Limited,1.07,985950,1.05,823108,1.31,823108,1.27,823108
Neuland Laboratories Ltd,1.03,201322,1.02,201322,1.18,201322,1.05,201322
Zee Entertainment Ent Ltd,1.02,2818000,-,-,-,-,-,-
EID Parry (India) Ltd,0.99,1359402,1.13,1359402,1.37,1359402,1.67,1359402
Archean Chemical Industries Limited,0.97,1260571,0.85,884736,1.03,884736,1.19,884736
Best Agrolife Limited,0.93,500000,1.03,500000,0.98,500000,0.81,331000
Hindustan Petroleum Corporation Ltd,0.89,2121000,0.07,150000,-,-,-,-
Jio Financial Services Limited,0.85,2197000,-,-,-,-,-,-
The Jammu & Kashmir Bank Limited,0.80,8100000,0.88,8100000,0.99,8100000,1.15,8100000
Jash Engineering Limited,0.76,412817,0.84,412817,0.91,404178,0.92,404178
Garware Hi-Tech Films Ltd,0.75,506109,0.80,506109,0.73,506109,0.64,474109
Ramkrishna Forgings Limited,0.73,884689,0.71,884689,0.73,884689,0.70,884689
Railtel Corporation Of India Limited,0.68,2800000,-,-,-,-,-,-
AGI GREENPAC LIMITED,0.65,709209,0.45,433922,0.53,433922,0.43,420600
Engineers India Limited,0.64,2750000,-,-,-,-,-,-
Nitin Spinners Limited,0.62,1809163,0.87,1809163,1.00,1809163,1.09,1809163
Apollo Micro Systems Limited,0.62,7321050,0.73,7321050,0.53,7321050,0.56,7321050
KEYSTONE REALTORS LIMITED,0.58,680473,0.49,471178,-,-,-,-
RITES LIMITED,0.56,822092,-,-,-,-,-,-
Aavas Financiers Limited,0.56,247000,0.68,247000,-,-,-,-
NCC Ltd,0.53,2254278,0.49,2254278,0.57,2254278,0.66,2254278
MANGALORE REFINERY & PETROCHEMICALS LTD,0.51,4150000,0.32,2300000,-,-,-,-
Orchid Pharma Limited,0.50,594162,-,-,-,-,-,-
The Orissa Minerals Development Co Ltd,0.49,84013,-,-,-,-,-,-
Vardhman Textiles Limited,0.46,835000,0.55,835000,0.27,400000,-,-
Himadri Speciality Chemical Limited,0.43,2085000,0.50,2085000,0.57,2085000,0.53,2085000
PUNJAB ALKALIES AND CHEMICALS LTD,0.43,4556962,0.52,4556962,0.65,4556962,0.85,4556962
HP Adhesives Limited,0.41,623137,0.29,383724,0.35,383724,0.09,98724
Rossari Biotech Limited,0.40,325669,0.51,325669,0.28,177339,-,-
Suven Pharmaceuticals Limited,0.39,535000,0.47,535000,0.54,535000,0.62,535000
Indus Towers Limited,0.38,1500000,-,-,-,-,-,-
Orient Paper & Industries Limited,0.34,5267054,0.38,5267054,0.48,5267054,0.56,5267054
Taj GVK Hotels & Resorts Limited,0.34,828694,0.35,828694,0.41,828694,0.45,828694
Coal India Ltd,0.34,1000000,-,-,-,-,-,-
Ksb Limited,0.32,94334,0.37,94334,0.42,94334,0.52,94334
TV Today Network Limited,0.32,1045525,0.37,1045525,0.43,1045525,0.49,1045525
Confidence Petroleum India Limited,0.31,2614000,0.38,2614000,0.37,2614000,0.39,2614000
Sun Pharmaceutical Industries Limited,0.29,170000,0.32,170000,-,-,-,-
Balrampur Chini Mills Limited,0.27,450000,-,-,-,-,-,-
Gulshan Polyols Limited,0.27,848509,0.40,882135,0.40,882136,0.45,882136
Hi-Tech Pipes Limited,0.24,2000000,0.26,2000000,0.32,2000000,0.38,2000000
Prudent Corporate Advisory Services Ltd,0.23,137771,0.24,137771,0.27,137771,0.29,137771
Vimta Labs Limited,0.22,330152,0.24,326854,0.28,326854,0.31,326854
Sun Pharma Advanced Research Co. Ltd,0.21,595869,0.22,595869,0.24,595869,0.28,595869
Bharat Rasayan Limited,0.21,16063,0.28,16063,0.34,16063,0.39,16063
West Coast Paper Mills Limited,0.20,279395,0.25,279395,0.32,279395,0.38,279395
NACL Industries Limited,0.19,1611047,0.28,1611047,0.35,1611047,0.19,942838
INDIAN HUME PIPE COMPANY LIMITED,0.15,386791,-,-,-,-,-,-
Lt Foods Limited,0.15,550000,-,-,-,-,-,-
AGS Transact Technologies Limited,0.15,1728585,0.18,1728585,0.22,1728585,0.22,1728585
IKIO LIGHTING LIMITED,0.13,210429,-,-,-,-,-,-
Nahar Spinning Mills Limited,0.07,196607,0.10,196607,0.11,196607,0.14,196607
IDEAFORGE TECHNOLOGY LIMITED,0.06,35987,-,-,-,-,-,-
PIX Transmission Limited,0.02,11043,-,-,-,-,-,-
Blue Star Limited,-,-,-,-,-,-,1.08,595092
ITC Limited,-,-,1.28,1577756,1.50,1577756,5.47,5259287
Zensar Technologies Limited,-,-,-,-,-,-,1.44,2110175
Rashtriya Chemicals & Fertilizers Ltd.,-,-,-,-,-,-,0.81,3023328
Aurobindo Pharma Limited,-,-,-,-,0.45,320000,0.16,105000
Stylam Industries Limited,-,-,1.17,410202,1.43,417020,1.30,457520
Manappuram Finance Ltd,-,-,-,-,-,-,0.74,2320000
Union Bank of India,-,-,-,-,-,-,0.58,3150000
Granules India Limited,-,-,0.63,1174183,0.71,1174183,0.86,1174183
IDFC Limited,-,-,-,-,0.67,3153000,0.68,3153000
PVR Ltd.,-,-,0.36,146000,0.44,146000,0.52,146000
RBL Bank Limited,-,-,-,-,1.93,5582723,4.46,11285000
Tejas Networks Limited,-,-,-,-,-,-,0.43,266312
LTIMindtree Limited,-,-,1.02,109000,0.55,51500,-,-
PTC India Financial Services Ltd,-,-,-,-,-,-,0.18,5209999
Arvind SmartSpaces Limited,-,-,-,-,0.01,8616,-,-
DIVGI TORQTRANSFER SYSTEMS LIMITED,-,-,-,-,0.55,304731,0.65,405922
Pricol Limited,-,-,0.30,717116,1.20,2429424,1.49,2429424


Debt Holdings
Instrument,Jul-23 AUM:₹6779.6(Cr.) ,Jun-23 AUM:₹5565.3(Cr.) ,May-23 AUM:₹4688.2(Cr.) ,Apr-23 AUM:₹4091.5(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
91 Days Treasury Bill 07-Sep-2023 (Treasury Bills),2.86,3.46,-,-
182 Days Treasury Bill  14-Sep-2023 (Treasury Bills),1.35,1.63,-,-
91 Days Treasury Bill 14-Sep-2023 (Treasury Bills),0.91,1.10,-,-
4.75% HDFC Bank Ltd FD 03-07-2023 (Deposits),-,2.70,-,-


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹6779.6(Cr.) ,Jun-23 AUM:₹5565.3(Cr.) ,May-23 AUM:₹4688.2(Cr.) ,Apr-23 AUM:₹4091.5(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),4.43,3.08,8.65,0.87
Net Current Asset,-5.31,3.92,2.33,0.97


Miscellaneous Holdings
Instrument,Jul-23 AUM:₹6779.6(Cr.) ,Jun-23 AUM:₹5565.3(Cr.) ,May-23 AUM:₹4688.2(Cr.) ,Apr-23 AUM:₹4091.5(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
HDFC Bank Limited 31/08/2023 (Derivatives-Futures),6.84,6.83,7.67,7.91
ICICI Bank Limited 31/08/2023 (Derivatives-Futures),2.32,-,-,-
Zee Entertainment Ent Ltd 31/08/2023 (Derivatives-Futures),1.02,-,-,-
Adani Ports & Special Economic Zone Ltd 31/08/2023 (Derivatives-Futures),0.93,-,-,-
Hindustan Petroleum Corporation Ltd 31/08/2023 (Derivatives-Futures),0.89,0.07,-,-
Bharat Heavy Electricals Ltd 31/08/2023 (Derivatives-Futures),0.39,-,-,-
Bandhan Bank Ltd. 31/08/2023 (Derivatives-Futures),0.17,-,-,-
QUANT GILT FUND -DIRECT PLAN-GROWTH (Domestic Mutual Funds Units),0.01,0.01,0.01,0.01
NSE NIFTY 50 27/07/2023 (Derivatives-Futures),-,-2.60,-,-
Aditya Birla Capital Limited 27/07/2023 (Derivatives-Futures),-,0.09,-,-
PUT NSE BANK NIFTY 29/06/2023 43500 (Derivatives-Put Options),-,-,0.09,-
